"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","provincial_capital"
"14","Badakhshan","بدخشان","بدخشان","1419","19","WAKHAN","WAKHAN","واخان","NO"
"14","Badakhshan","بدخشان","بدخشان","1420","20","SHEGHNAN","SHEGHNAN","شیغنان","NO"
"14","Badakhshan","بدخشان","بدخشان","1421","21","ARGHANJ KHAWA","ARGHANJ KHAWA","ارغنجخواه","NO"
"14","Badakhshan","بدخشان","بدخشان","1422","22","RAGHISTAN","RAGHISTAN","راغستان","NO"
"14","Badakhshan","بدخشان","بدخشان","1423","23","KHWAHAN","KHWAHAN","خواهان","NO"
"14","Badakhshan","بدخشان","بدخشان","1424","24","KOF AB","KOF AB","کوف آب","NO"
"14","Badakhshan","بدخشان","بدخشان","1425","25","YAMGAN (GRIWAN)","YAMGAN (GRIWAN)","یمگان","NO"
"14","Badakhshan","بدخشان","بدخشان","1426","26","DARWAZE-E PAYAN NUSAY","DARWAZE-E PAYAN NUSAY","درواز پایان نسی","NO"
"14","Badakhshan","بدخشان","بدخشان","1427","27","DARWAZE BALA MAMAI","DARWAZE BALA MAMAI","دروازۀ بالا مامی","NO"
"14","Badakhshan","بدخشان","بدخشان","1428","28","SHEIKE","SHEIKE","شکی","NO"
"15","Takhar","تخار","تخار","1501","01","TALOQAN - CENTER OF TALOQAN","TALOQAN - CENTER OF TALOQAN","مرکزتخار- تالقان","YES"
"15","Takhar","تخار","تخار","1502","02","HAZAR SOMOCH","HAZAR SOMOCH","هزارسموچ","NO"
"15","Takhar","تخار","تخار","1503","03","BAHARAK","BAHARAK","بهارک","NO"
"15","Takhar","تخار","تخار","1504","04","KHWAJA GHAR","KHWAJA GHAR","خواجه غار","NO"
"15","Takhar","تخار","تخار","1505","05","BANGI","BANGI","بنگی","NO"
"15","Takhar","تخار","تخار","1506","06","ESHKAMESH","ESHKAMESH","اشکمش","NO"
"15","Takhar","تخار","تخار","1507","07","CHAAL","CHAAL","چال","NO"
"15","Takhar","تخار","تخار","1508","08","NAMAK  AAB","NAMAK  AAB","نمک آب","NO"
"15","Takhar","تخار","تخار","1509","09","FARKHAR","FARKHAR","فرخار","NO"
"15","Takhar","تخار","تخار","1510","10","KALAFGAN","KALAFGAN","کلفگان","NO"
"15","Takhar","تخار","تخار","1511","11","RUSTAQ","RUSTAQ","رستاق","NO"
"15","Takhar","تخار","تخار","1512","12","CHAH AAB","CHAH AAB","چاه آب","NO"
"15","Takhar","تخار","تخار","1513","13","YANGI QALA","YANGI QALA","ینگی قلعه","NO"
"15","Takhar","تخار","تخار","1514","14","KHWAJA BAHAWODDIN","KHWAJA BAHAWODDIN","خواجه بهاوالدین","NO"
"15","Takhar","تخار","تخار","1515","15","DARQAD","DARQAD","درقد","NO"
"15","Takhar","تخار","تخار","1516","16","DASHTE QALA","DASHTE QALA","دشت قلعه","NO"
"15","Takhar","تخار","تخار","1517","17","WARSAJ","WARSAJ","ورسج","NO"
"16","Baghlan","بغلان","بغلان","1601","01","PROVINCIAL CENTER (PUL-I-KHUMRI)","PROVINCIAL CENTER (PUL-I-KHUMRI)","مرکزبغلان - پلخمری","YES"
"16","Baghlan","بغلان","بغلان","1602","02","BAGHLAN JADEED","BAGHLAN JADEED","بغلان جید","NO"
"16","Baghlan","بغلان","بغلان","1603","03","DHANA-I-GHORI","DHANA-I-GHORI","دهنه غوری","NO"
"16","Baghlan","بغلان","بغلان","1604","04","DOOSHI","DOOSHI","دوشی","NO"
"16","Baghlan","بغلان","بغلان","1605","05","KHENJAN","KHENJAN","خنجان","NO"
"16","Baghlan","بغلان","بغلان","1606","06","BANO ANDARAB","BANO ANDARAB","اندراب","NO"
"16","Baghlan","بغلان","بغلان","1607","07","NAHREEN","NAHREEN","نهرین","NO"
"16","Baghlan","بغلان","بغلان","1608","08","BORKA","BORKA","برکه","NO"
"16","Baghlan","بغلان","بغلان","1609","09","TALA-O-BARFAK","TALA-O-BARFAK","تاله و برفک","NO"
"16","Baghlan","بغلان","بغلان","1610","10","PUL-I-HESAR","PUL-I-HESAR","پل حصار","NO"
"16","Baghlan","بغلان","بغلان","1611","11","DEHE SALAH","DEHE SALAH","ده صلاح","NO"
"16","Baghlan","بغلان","بغلان","1612","12","JELGA (KHWAJA HEJRAN)","JELGA (KHWAJA HEJRAN)","جلگه","NO"
"16","Baghlan","بغلان","بغلان","1613","13","KHOST-O-FERENG","KHOST-O-FERENG","خوست و فرنگ","NO"
"16","Baghlan","بغلان","بغلان","1614","14","FRENG-GHARO","FRENG-GHARO","فرنگ وغارو","NO"
"16","Baghlan","بغلان","بغلان","1615","15","GOZAR-GAHE-NOOR","GOZAR-GAHE-NOOR","گذرگاه نور","NO"
"17","Kunduz","کندز","کندز","1701","01","PROVINCIAL CENTER (KUNDUZ)","PROVINCIAL CENTER (KUNDUZ)","مرکزکندز- کندز","YES"
"17","Kunduz","کندز","کندز","1702","02","IMAM SAHEB","IMAM SAHEB","حضرت امام صاحب","NO"
"17","Kunduz","کندز","کندز","1703","03","QALA-I-ZAL","QALA-I-ZAL","قلعه ذال","NO"
"17","Kunduz","کندز","کندز","1704","04","CHAR DARA","CHAR DARA","چاردره","NO"
