"province_code","province_code_2018","province_name_eng","province_name_dari","province_name_pashto","district_code","provincial_capital","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","pc_code","pc_location","pc_location_dari","ps_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101089","part(B)khoshal mina,nahid shaheed high school","قسمت ب خوشحال مينه, ليسه ناهيد شهيد",8,6,2,0,7000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101090"," SpeenKali School located in Speen Kali Square ","مکتب سپین کلی، چاراهی سپین کلی",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101091","part(B)khoshal mina,deh now deh boori","قسمت ب خوشحال مينه, مکتب ده نو ده بوري",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101092"," AbuZar Ghafari High School located in Qambar Square ","لیسه ابوذر غفاری، چاراهی قمبر",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101093","saray herati,wadaki haa masque","سراي هراتيها, مسجد وردکيها",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101094","sapin kalai,sapin kalai high school","شپين کلي, ليسه سپين کلي",9,6,3,0,8000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101095","charqala,charqala high school","چهار قلعه, ليسه چهار قلعه",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101096","talgaraph,imam hasan mujtabaa masque","تلگراف, مسجد امام حسن مجتبي",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101097","qala nazar,khatimalanbia islamic school","قلعه ناظر, مدرسه خاتم الانبيا",8,5,3,0,7000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101098","qala nazar,muhammad asaf mayal high school","قلعه ناظر, ليسه محمد آصف مايل",8,5,3,0,7000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101099"," Masjid Ali Anaqi.","مسجد علی انقی",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101100","deh qabal,gulkhana sacandary school","ده قابل, مکتب متوسطه گلخانه",11,7,4,0,10000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101101","dash haay haaji hasan,ahmadi masque","داش هاي حاجي حاجي حسين, مسجد احمدي",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101102","qala muhammad hayat,muhammad hayat masque","قلعه محمد حيات, مسجد محمد حيات",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101103","qala abasqali,salman farsi masque","قلعه عباس قلي, مسجد سلمان فارسي",6,4,2,0,4500,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101104","afshar darlaman,qala bakhtiar sacandary school","افسار دارالامان, مکتب متوسطه قلعه بختيار",8,6,2,0,8700,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 6","کابل ناحیه (6)","0101105","Qambar Bene Hasham Sallon, Afshar Darulaman","صالون قمبر بنی هاشم، افشار دارالامان",3,2,1,0,2000,""
