"electorate","province_code","district_code","district_number","pc_code","pc_number","ps_code","ps_type","prelim_reporting"
"General","01","0101","01","0101096","096","0101096-05","F","YES"
"General","01","0101","01","0101097","097","0101097-01","M","YES"
"General","01","0101","01","0101097","097","0101097-02","M","YES"
"General","01","0101","01","0101097","097","0101097-03","M","YES"
"General","01","0101","01","0101097","097","0101097-04","M","YES"
"General","01","0101","01","0101097","097","0101097-05","M","YES"
"General","01","0101","01","0101097","097","0101097-06","F","YES"
"General","01","0101","01","0101097","097","0101097-07","F","YES"
"General","01","0101","01","0101097","097","0101097-08","F","YES"
"General","01","0101","01","0101098","098","0101098-01","M","YES"
"General","01","0101","01","0101098","098","0101098-02","M","YES"
"General","01","0101","01","0101098","098","0101098-03","M","YES"
"General","01","0101","01","0101098","098","0101098-04","M","YES"
"General","01","0101","01","0101098","098","0101098-05","M","YES"
"General","01","0101","01","0101098","098","0101098-06","F","YES"
"General","01","0101","01","0101098","098","0101098-07","F","YES"
"General","01","0101","01","0101098","098","0101098-08","F","YES"
"General","01","0101","01","0101099","099","0101099-01","M","YES"
"General","01","0101","01","0101099","099","0101099-02","M","YES"
"General","01","0101","01","0101099","099","0101099-03","F","YES"
"General","01","0101","01","0101100","100","0101100-01","M","YES"
"General","01","0101","01","0101100","100","0101100-02","M","YES"
"General","01","0101","01","0101100","100","0101100-03","M","YES"
"General","01","0101","01","0101100","100","0101100-04","M","YES"
"General","01","0101","01","0101100","100","0101100-05","M","YES"
"General","01","0101","01","0101100","100","0101100-06","M","YES"
"General","01","0101","01","0101100","100","0101100-07","M","YES"
"General","01","0101","01","0101100","100","0101100-08","F","YES"
"General","01","0101","01","0101100","100","0101100-09","F","YES"
"General","01","0101","01","0101100","100","0101100-10","F","YES"
"General","01","0101","01","0101100","100","0101100-11","F","YES"
"General","01","0101","01","0101101","101","0101101-01","M","YES"
"General","01","0101","01","0101101","101","0101101-02","M","YES"
"General","01","0101","01","0101101","101","0101101-03","M","YES"
"General","01","0101","01","0101101","101","0101101-04","F","YES"
"General","01","0101","01","0101101","101","0101101-05","F","YES"
