"province_code","district_code","pc_code","ps_code","ps_number","ps_station_type"
"01","0101","0101119","0101119-01","01","M"
"01","0101","0101119","0101119-02","02","M"
"01","0101","0101119","0101119-03","03","M"
"01","0101","0101119","0101119-04","04","F"
"01","0101","0101119","0101119-05","05","F"
"01","0101","0101120","0101120-01","01","M"
"01","0101","0101120","0101120-02","02","M"
"01","0101","0101120","0101120-03","03","M"
"01","0101","0101120","0101120-04","04","M"
"01","0101","0101120","0101120-05","05","M"
"01","0101","0101120","0101120-06","06","F"
"01","0101","0101120","0101120-07","07","F"
"01","0101","0101121","0101121-01","01","M"
"01","0101","0101121","0101121-02","02","M"
"01","0101","0101121","0101121-03","03","M"
"01","0101","0101121","0101121-04","04","M"
"01","0101","0101121","0101121-05","05","F"
"01","0101","0101121","0101121-06","06","F"
"01","0101","0101122","0101122-01","01","M"
"01","0101","0101122","0101122-03","03","M"
"01","0101","0101122","0101122-04","04","F"
"01","0101","0101122","0101122-05","05","F"
"01","0101","0101123","0101123-01","01","M"
"01","0101","0101123","0101123-02","02","M"
"01","0101","0101123","0101123-03","03","M"
"01","0101","0101123","0101123-04","04","M"
"01","0101","0101123","0101123-05","05","F"
"01","0101","0101123","0101123-06","06","F"
"01","0101","0101124","0101124-01","01","M"
"01","0101","0101124","0101124-02","02","M"
"01","0101","0101124","0101124-03","03","M"
"01","0101","0101124","0101124-05","05","F"
"01","0101","0101125","0101125-01","01","M"
"01","0101","0101125","0101125-02","02","M"
"01","0101","0101125","0101125-03","03","M"
"01","0101","0101125","0101125-04","04","M"
"01","0101","0101125","0101125-05","05","M"
"01","0101","0101125","0101125-06","06","M"
"01","0101","0101125","0101125-07","07","F"
"01","0101","0101125","0101125-08","08","F"
"01","0101","0101126","0101126-01","01","M"
"01","0101","0101126","0101126-02","02","M"
"01","0101","0101126","0101126-04","04","M"
"01","0101","0101126","0101126-05","05","M"
"01","0101","0101126","0101126-06","06","M"
"01","0101","0101126","0101126-07","07","F"
"01","0101","0101126","0101126-08","08","F"
"01","0101","0101127","0101127-01","01","M"
"01","0101","0101127","0101127-02","02","M"
"01","0101","0101127","0101127-03","03","M"
"01","0101","0101127","0101127-04","04","M"
"01","0101","0101127","0101127-05","05","M"
"01","0101","0101127","0101127-06","06","F"
"01","0101","0101127","0101127-07","07","F"
"01","0101","0101128","0101128-01","01","M"
"01","0101","0101128","0101128-02","02","M"
"01","0101","0101128","0101128-03","03","M"
"01","0101","0101128","0101128-04","04","M"
"01","0101","0101128","0101128-05","05","M"
"01","0101","0101128","0101128-06","06","M"
"01","0101","0101128","0101128-07","07","F"
"01","0101","0101128","0101128-08","08","F"
"01","0101","0101128","0101128-09","09","F"
"01","0101","0101129","0101129-01","01","M"
"01","0101","0101129","0101129-02","02","M"
"01","0101","0101129","0101129-03","03","M"
"01","0101","0101129","0101129-04","04","M"
"01","0101","0101129","0101129-05","05","M"
"01","0101","0101129","0101129-06","06","F"
"01","0101","0101129","0101129-07","07","F"
"01","0101","0101129","0101129-08","08","F"
"01","0101","0101130","0101130-01","01","M"
"01","0101","0101130","0101130-02","02","M"
"01","0101","0101130","0101130-03","03","M"
"01","0101","0101130","0101130-04","04","M"
"01","0101","0101130","0101130-05","05","M"
"01","0101","0101130","0101130-06","06","F"
"01","0101","0101130","0101130-07","07","F"
"01","0101","0101130","0101130-08","08","F"
"01","0101","0101130","0101130-09","09","F"
"01","0101","0101131","0101131-01","01","M"
"01","0101","0101131","0101131-02","02","M"
"01","0101","0101131","0101131-03","03","M"
"01","0101","0101131","0101131-04","04","M"
"01","0101","0101131","0101131-05","05","F"
"01","0101","0101131","0101131-06","06","F"
"01","0101","0101132","0101132-01","01","M"
"01","0101","0101132","0101132-02","02","M"
"01","0101","0101132","0101132-03","03","M"
"01","0101","0101132","0101132-04","04","M"
"01","0101","0101132","0101132-06","06","F"
"01","0101","0101132","0101132-07","07","F"
"01","0101","0101133","0101133-01","01","M"
