"pc_code","prelim_results_status","province_name","province_code","district_name","district_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"0705119","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Peetak Mosque","Peetak","Old","no change",1608,123,43,0,20,0,0,16,44,1484,1041,443,1,0,1042,443,1485
"0705120","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Gamandook Mosque","Gamandok","Old","no change",516,18,12,0,2,0,0,0,4,498,388,110,0,0,388,110,498
"0901019","Not Reporting","BAGHLAN","09","PULE KHUMRI","0901","Toor Shaheed School","Khalazai village","Old","no change",1368,196,10,0,8,0,0,165,13,1154,718,436,18,0,736,436,1172
"0901037","Not Reporting","BAGHLAN","09","PULE KHUMRI","0901","Kuhnah Masjid","Surkh Kotal School","Not Assessed","no change",18,6,6,0,0,0,0,0,0,12,12,0,0,0,12,0,12
"0901038","Not Reporting","BAGHLAN","09","PULE KHUMRI","0901","Chashma e Sheer School","Eisa Bye village","Old","no change",138,9,7,0,0,0,0,1,1,124,117,7,5,0,122,7,129
"0901040","Not Reporting","BAGHLAN","09","PULE KHUMRI","0901","Aljihad Mahajereen School","<Null>","Old","no change",126,13,11,0,1,0,0,0,1,111,105,6,2,0,107,6,113
"0901041","Not Reporting","BAGHLAN","09","PULE KHUMRI","0901","Khwajah Alwan camp, Pul e Khumri Mazar Shareef Ro*","Khwaja Alwan, Camp Kuhnah","Old","no change",534,26,13,0,4,0,0,5,4,415,387,28,93,0,476,32,508
"0903068","Not Reporting","BAGHLAN","09","DOSHI","0903","Kyan School","Markaz Kyan","Old","no change",1800,26,4,0,4,0,0,7,11,1772,584,1188,2,0,584,1190,1774
"0903081","Not Reporting","BAGHLAN","09","DOSHI","0903","Kuru village Jame Madrassah","Karoo village","Not Assessed","no change",186,19,8,0,1,0,0,3,7,167,156,11,0,0,156,11,167
"0903082","Not Reporting","BAGHLAN","09","DOSHI","0903","Saloon Ijtemai (Community Hall) Zard Sang","Zard Sang village","Old","no change",823,45,9,0,16,0,0,1,19,777,390,387,1,0,391,387,778
"0903083","Not Reporting","BAGHLAN","09","DOSHI","0903","Sang Surakh Secondary School","Sang Sorakh","Old","no change",1380,51,21,0,11,0,0,12,7,1326,767,559,3,0,770,559,1329
"0903085","Not Reporting","BAGHLAN","09","DOSHI","0903","Kelah Gai High School","Kelah Gai village","Old","no change",2004,72,15,0,15,0,0,9,33,1930,1222,708,2,0,1224,708,1932
"0903086","Not Reporting","BAGHLAN","09","DOSHI","0903","LarKhwab School","Darah e Larkhwab","Old","no change",2304,69,19,0,24,0,0,3,23,2235,1152,1083,0,0,1152,1083,2235
"0903087","Not Reporting","BAGHLAN","09","DOSHI","0903","Chehel Kapah School","Chehel Kapah","Old","no change",2388,85,21,0,25,0,0,11,28,2283,1134,1149,20,0,1154,1149,2303
"0904100","Not Reporting","BAGHLAN","09","NAHREEN","0904","Syah Darah School","Aab Mazar","New","no change",2863,66,17,0,19,0,0,10,20,2787,1610,1177,10,0,1619,1178,2797
"0904107","Not Reporting","BAGHLAN","09","NAHREEN","0904","Mir Mohammad Shaheed Ilhaqia School","Darah Gai Dasht e Qazi","New","no change",906,228,21,0,166,0,0,8,33,677,523,154,1,0,524,154,678
"0904109","Not Reporting","BAGHLAN","09","NAHREEN","0904","Hazrat Usman School","Sarak Sayad","Old","no change",924,48,24,0,6,0,0,3,15,876,652,224,0,0,652,224,876
"0904116","Not Reporting","BAGHLAN","09","NAHREEN","0904","Tali ha School","Tali ha","Old","no change",3000,86,15,0,9,0,0,10,52,2909,1741,1168,5,0,1745,1169,2914
"0905130","Not Reporting","BAGHLAN","09","BAGHLAN JADID","0905","Nazukmeer Shaheed School","Sarak Hashtum  (Street 8)","Old","no change",550,36,10,0,9,0,0,1,16,512,381,131,2,0,383,131,514
"0905131","Not Reporting","BAGHLAN","09","BAGHLAN JADID","0905","Khwajah Khan Baba School","Sarak 12 (Street 12) Khwajah Khan","Old","no change",2586,140,9,0,56,0,0,20,55,1758,964,794,688,0,1298,1148,2446
"0905147","Not Reporting","BAGHLAN","09","BAGHLAN JADID","0905","Chahar Shanbah Tepah School","Tahiri ha village","Old","no change",1752,286,1,0,26,0,0,1,258,1465,977,488,1,0,977,489,1466
"0905150","Not Reporting","BAGHLAN","09","BAGHLAN JADID","0905","Abu Had Jarkhushk School","Jar e Khushk","Old","no change",2814,72,13,0,22,0,0,4,33,2613,1685,928,129,0,1760,982,2742
