2018_IEC_province_code,2012_AGCHO_province_code,2010_IEC_province_code,2010_IEC_district_name_eng,2010_IEC_district_code,2010_IEC_district_code_matched_to_2012_AGCHO_district_code,2010_IEC_district_code_matched_to_2018_IEC_district_code,2012_AGCHO_district_name_eng,2012_AGCHO_district_code,2012_AGCHO_district_code_matched_to_2018_IEC_district_code,2018_IEC_district_name_eng,2018_IEC_district_code,district_name_dari,district_name_pashto,alternate_dari_pashto,district_description_via_Map_Sync_Project
11,11,6,QARA BAGH,609,1110,1111,Qarabagh,1110,1111,Qarabagh,1111,قره باغ,قره باغ,,"Qara Bagh, Qarabagh, Qarah Bagh.  (There is also a Qara Bagh district of Kabul.)"
11,11,6,GIRO,610,1111,1112,Giro,1111,1112,Gero,1112,گیرو,گيرو,,Giro.
11,11,6,ANDER,611,1105,1107,Andar,1105,1107,Andar,1107,اندر,اندړ,,"Andar, Shilgar, Shelgar,."
11,11,6,NAWUR,612,1112,1110,Nawur,1112,1110,Nawur,1110,ناور,ناور,,Nawur.
11,11,6,AJRESTAN,613,1116,1118,Ajrestan,1116,1118,Ajristan,1118,اجرستان,اجرستان,,"Ajristan, Daya, Ajrestan,."
11,11,6,MALESTAN,614,1117,1116,Malestan,1117,1116,Malistan,1116,مالستان,مالستان,,"Malistan, Malestan."
11,11,6,JAGHORI,615,1113,1114,Jaghuri,1113,1114,Jaghori,1114,جاغوری,جاغوری,,"Jaghuri, Jaghori, Jaghouri."
11,11,6,MUQUR (GHAZNI),616,1114,1115,Muqur,1114,1115,Muqur,1115,مقر,مقر,,"Muqur, Moqor, Muqur, Moqur, Muqer."
11,11,6,AB BAND,617,1115,1113,Abband,1115,1113,Ab Band,1113,آب بند,اب بن,,"Ab Band, Abband, Auband."
11,11,6,GELLAN,618,1118,1117,Gelan,1118,1117,Gelan,1117,گیلان,گيلان,,"Gelan, Gilan, Janda (the distict center)."
11,11,6,NAWA,619,1119,1119,Nawa,1119,1119,Nawa,1119,ناوه,ناوي,,"Nawa, Nawah.  (There is also a Nawa (aka Nawa-i-Barakzai) in Helmand, and a Nawur district in Ghazni.)"
